Stations,StopNo
airport,3039
barrhaven centre,3045
baseline,3017
bayshore,3050
bayview,3060
beatrice,3049
billings bridge,3034
blair,3027
canadian tire centre,3059
carleton,3062
carling,3061
chapel hill,3074
cyrville,3026
dominion,3013
eagleson,3055
fallowfield - via rail,3043
greenboro,3037
heron,3035
hurdman,3023
innovation,3057
iris,3016
jeanne d'arc,3070
lees,3022
leitrim,3041
lincoln fields,3014
longfields,3046
lycée claudel,3030
lyon,3051
marketplace,3047
millennium,3076
moodie,3042
mooney's bay,3063
nepean woods,3048
parliament,3052
pimisi,3010
pinecrest,3019
place d'orléans,3028
place d'orléans park & ride,3075
pleasant park,3033
queensway,3015
rideau,3009
riverside,3032
riverview,3040
smyth,3031
south keys,3038
st-laurent,3025
strandherd,3044
teron,3018
terry fox,3058
tremblay - via rail,3024
trim,3029
tunney's pasture,3011
uottawa,3021
walkley,3036
westboro,3012
